id,code,name,city,product_id
10553,MSP, MN: Minneapolis-St Paul International,Minneapolis,10553
10554,ORD, IL: Chicago O'Hare International,Chicago,10554
10555,PDX, OR: Portland International,Portland,10555
10556,PHL, PA: Philadelphia International,Philadelphia,10556
10557,PHX, AZ: Phoenix Sky Harbor International,Phoenix,10557
10558,SAN, CA: San Diego International,San Diego,10558
10559,SEA, WA: Seattle/Tacoma International,Seattle,10559
10560,SFO, CA: San Francisco International,San Francisco,10560
10561,SLC, UT: Salt Lake City International,Salt Lake City,10561
10562,TPA, FL: Tampa International,Tampa,10562
10563,BOS, MA: Logan International,Boston,10563
10564,DCA, DC: Ronald Reagan Washington National,Washington,10564
10565,DEN, CO: Denver International,Denver,10565
10566,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,10566
10567,EWR, NJ: Newark Liberty International,Newark,10567
10568,IAD, DC: Washington Dulles International,Washington,10568
10569,LAS, NV: McCarran International,Las Vegas,10569
10570,LAX, CA: Los Angeles International,Los Angeles,10570
10571,MCO, FL: Orlando International,Orlando,10571
10572,MIA, FL: Miami International,Miami,10572
10573,ORD, IL: Chicago O'Hare International,Chicago,10573
10574,PDX, OR: Portland International,Portland,10574
10575,PHX, AZ: Phoenix Sky Harbor International,Phoenix,10575
10576,SAN, CA: San Diego International,San Diego,10576
10577,SEA, WA: Seattle/Tacoma International,Seattle,10577
10578,SFO, CA: San Francisco International,San Francisco,10578
10579,BOS, MA: Logan International,Boston,10579
10580,DEN, CO: Denver International,Denver,10580
10581,EWR, NJ: Newark Liberty International,Newark,10581
10582,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,10582
10583,IAD, DC: Washington Dulles International,Washington,10583
10584,JFK, NY: John F. Kennedy International,New York,10584
10585,LAS, NV: McCarran International,Las Vegas,10585
10586,LGA, NY: LaGuardia,New York,10586
10587,MCO, FL: Orlando International,Orlando,10587
10588,PDX, OR: Portland International,Portland,10588
10589,PHX, AZ: Phoenix Sky Harbor International,Phoenix,10589
10590,SAN, CA: San Diego International,San Diego,10590
10591,SEA, WA: Seattle/Tacoma International,Seattle,10591
10592,SLC, UT: Salt Lake City International,Salt Lake City,10592
10593,TPA, FL: Tampa International,Tampa,10593
10594,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,10594
10595,BOS, MA: Logan International,Boston,10595
10596,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,10596
10597,DCA, DC: Ronald Reagan Washington National,Washington,10597
10598,DEN, CO: Denver International,Denver,10598
10599,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,10599
10600,DTW, MI: Detroit Metro Wayne County,Detroit,10600
10601,EWR, NJ: Newark Liberty International,Newark,10601
10602,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,10602
10603,IAD, DC: Washington Dulles International,Washington,10603
10604,IAH, TX: George Bush Intercontinental/Houston,Houston,10604
10605,JFK, NY: John F. Kennedy International,New York,10605
10606,LAS, NV: McCarran International,Las Vegas,10606
10607,LAX, CA: Los Angeles International,Los Angeles,10607
10608,LGA, NY: LaGuardia,New York,10608
10609,MCO, FL: Orlando International,Orlando,10609
10610,MDW, IL: Chicago Midway International,Chicago,10610
10611,MIA, FL: Miami International,Miami,10611
10612,MSP, MN: Minneapolis-St Paul International,Minneapolis,10612
10613,ORD, IL: Chicago O'Hare International,Chicago,10613
10614,PDX, OR: Portland International,Portland,10614
10615,PHL, PA: Philadelphia International,Philadelphia,10615
10616,PHX, AZ: Phoenix Sky Harbor International,Phoenix,10616
10617,SAN, CA: San Diego International,San Diego,10617
10618,SEA, WA: Seattle/Tacoma International,Seattle,10618
10619,SFO, CA: San Francisco International,San Francisco,10619
10620,SLC, UT: Salt Lake City International,Salt Lake City,10620
10621,TPA, FL: Tampa International,Tampa,10621
10622,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,10622
10623,BOS, MA: Logan International,Boston,10623
10624,CLT, NC: Charlotte Douglas International,Charlotte,10624
10625,DTW, MI: Detroit Metro Wayne County,Detroit,10625
10626,EWR, NJ: Newark Liberty International,Newark,10626
10627,IAD, DC: Washington Dulles International,Washington,10627
10628,JFK, NY: John F. Kennedy International,New York,10628
